RVLR EXP,2017,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 13 0 0 6 21 8 48
RVLR EXP,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RVLR EXP,2017,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 53
RVLR EXP,2017,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 3 10 11 1 36
RVLR EXP,2018,60600763 STULR—M’, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 21 0 0 41 23 8 93
RVLR EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 1
RVLR EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 3
RVLR EXP,2018,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 48
RVLR EXP,2018,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 2 21 3 5 1 38
RVLR MFG,2013,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 2 2 14
RVLR MFG,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 25
RVLR MFG,2013,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 4
RVLR MFG,2013,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 6 0 4 1 3 4 18
RVLR MFG,2014,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 20 0 21 10 56
RVLR MFG,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 2
RVLR MFG,2014,60600763 STURM, RUGER & COMPANY, INC 1 LACEY PL SOUTHPORT CT 73
RVLR MFG,2014,60600763 STURM, RUGER 8 COMPANY, 1 LACEY PL SOUTHPORT CT 10 5 15 8 10 1 49
RVLR MFG,2015,60600763 STU RM, RUGER & COMPANY, 1 LACEY PL SOUTHPORT CT 37 0 0 14 25 15 91
