PISTOL EXP,2012,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT AZ 8802
PISTOL EXP,2013,98614472 STU RM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 318861 0 0 324983 323440 146426 1113710
PISTOL EXP,2013,98614472 STURM, RUGER & COM PANY, INC 200 RUGER RD PRESCOTT AZ 9038
PISTOL EXP,2013,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 19
PISTOL EXP,2013,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 2
PISTOL EXP,2013,98614472 STURM, RUGER 8 COMPANY, INC 200 RUGER RD PRESCOTT Az 5
PISTOL EXP,2014,98614472 STU RM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 195498 0 159293 253419 110503 718713
PISTOL EXP,2014,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 1
PISTOL EXP,2014,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 10937
PISTOL EXP,2014,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 11
PISTOL EXP,2014,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 37
PISTOL EXP,2014,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 0 0 3 12 1 0 16
PISTOL EXP,2015,98614472 STU RM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 97621 0 169069 272525 90507 629722
PISTOL EXP,2015,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 15
PISTOL EXP,2015,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 3
PISTOL EXP,2015,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 3
PISTOL EXP,2015,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 0 0 5 0 0 2 7
PISTOL EXP,2016,98614472 STU RM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 67636 0 0 332660 423130 79011 902437
PISTOL EXP,2016,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 1
PISTOL EXP,2016,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 25
PISTOL EXP,2016,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 7401
PISTOL EXP,2016,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 2 0 0 0 4 7 13
PISTOL EXP,2017,98614472 STURM, RUGER & COMPANY, 200 RUGER RD PRESCOTT AZ 120033 0 0 281955 163865 44839 610692
PISTOL EXP,2017,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 12
PISTOL EXP,2017,98614472 STURM, RUGER & COMPANY, INC 200 RUGER RD PRESCOTT AZ 9135
PISTOL EXP,2017,98614472 STURM, RUGER 8 COMPANY, 200 RUGER RD PRESCOTT Az 1 1 4 8
